Column,QuestionText
Respondent,Randomized respondent ID number (not in order of survey response time)
MainBranch,"Which of the following options best describes you today? Here, by ""developer"" we mean ""someone who writes code."""
Hobbyist,Do you code as a hobby?
Age,"What is your age (in years)? If you prefer not to answer, you may leave this question blank."
ConvertedComp,"Salary converted to annual USD salaries using the exchange rate on 2020-02-19, assuming 12 working months and 50 working weeks."
Country,Where do you live?
DevType,Which of the following describe you? Please select all that apply.
EdLevel,Which of the following best describes the highest level of formal education that youâ€™ve completed?
Employment,Which of the following best describes your current employment status?
Ethnicity,"Which of the following describe you, if any? Please check all that apply. If you prefer not to answer, you may leave this question blank."
Gender,"Which of the following describe you, if any? Please check all that apply. If you prefer not to answer, you may leave this question blank."
JobFactors,"Imagine that you are deciding between two job offers with the same compensation, benefits, and location. Of the following factors, which 3 are MOST important to you?"
JobSat,"How satisfied are you with your current job? (If you work multiple jobs, answer for the one you spend the most hours on.)"
LanguageDesireNextYear,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)"
LanguageWorkedWith,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)"
MiscTechDesireNextYear,"Which other frameworks, libraries, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
MiscTechWorkedWith,"Which other frameworks, libraries, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
NEWCollabToolsDesireNextYear,"Which collaboration tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you worked with the tool and want to continue to do so, please check both boxes in that row.)"
NEWCollabToolsWorkedWith,"Which collaboration tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you worked with the tool and want to continue to do so, please check both boxes in that row.)"
NEWEdImpt,"How important is a formal education, such as a university degree in computer science, to your career?"
NEWLearn,How frequently do you learn a new language or framework?
NEWOvertime,How often do you work overtime or beyond the formal time expectation of your job?
NEWStuck,What do you do when you get stuck on a problem? Select all that apply.
OpSys,What is the primary operating system in which you work?
PlatformDesireNextYear,"Which platforms have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)"
PlatformWorkedWith,"Which platforms have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)"
WorkWeekHrs,"On average, how many hours per week do you work? Please enter a whole number in the box."
YearsCode,"Including any education, how many years have you been coding in total?"
YearsCodePro,"NOT including education, how many years have you coded professionally (as a part of your work)?"
